COD_INE;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD;HABITANTES;HOMBRES;MUJERES;TOTAL_PARO;H25;H25_44;H45;M25;M25_44;M45;AGRICULTURA;INDUSTRIA;CONSTRUCCION;SERVICIOS;SINEMPLEOANTERIOR;AÑO;EDAD_MEDIA;de0-18;de19-67;masde68;de0-12
01051000000;01470;01;ARABA/ÁLAVA;AGURAIN/SALVATIERRA;3776.9884;37786.0;-2.38874391;42.85002265;605.0;5025.0;2502.0;2523.0;377;15;61;78;16;119;88;18;72;18;212;57;2017;41.33850746;1066;3284;675;783
01052000000;01480;01;ARABA/ÁLAVA;SAMANIEGO;1063.761;16532.0;-2.67904862;42.56735197;571.0;323.0;163.0;160.0;3;-1;1;1;-1;1;0;-1;-1;-1;2;1;2017;50.64086687;41;194;88;23
01053000000;01490;01;ARABA/ÁLAVA;SAN MILLÁN/DONEMILIAGA;8540.58;107242.0;-2.37748902;42.87382571;600.0;709.0;394.0;315.0;26;0;7;9;0;2;8;1;7;2;16;-1;2017;48.45275035;110;450;149;75
01054000000;01500;01;ARABA/ÁLAVA;URKABUSTAIZ;6084.8426;37107.0;-2.90661046;42.95304046;633.0;1330.0;699.0;631.0;48;1;14;9;2;14;8;8;4;4;26;6;2017;41.09924812;286;891;153;209
01055000000;01510;01;ARABA/ÁLAVA;VALDEGOVÍA/GAUBEA;23827.336;104431.0;-3.09884417;42.84756896;552.0;996.0;557.0;439.0;31;2;4;12;1;3;9;1;6;0;24;0;2017;51.53714859;112;626;258;73
01056000000;01520;01;ARABA/ÁLAVA;HARANA/VALLE DE ARANA;3912.1857;37971.0;-2.33104687;42.75289194;812.0;232.0;132.0;100.0;7;-1;2;4;0;1;0;0;2;1;4;0;2017;59.05603448;14;130;88;10
01057000000;01530;01;ARABA/ÁLAVA;VILLABUENA DE ÁLAVA/ESKUERNAGA;847.9289;14014.0;-2.66452938;42.54857804;483.0;300.0;152.0;148.0;9;0;0;3;2;1;3;1;1;1;5;1;2017;49.85666667;31;193;76;21
01058000000;01540;01;ARABA/ÁLAVA;LEGUTIO;4585.3184;37334.0;-2.64255929;42.9798744;570.0;1800.0;960.0;840.0;97;1;18;26;3;27;22;3;11;8;59;16;2017;43.04444444;329;1209;262;246
01059000000;01001;01;ARABA/ÁLAVA;VITORIA-GASTEIZ;27681.2008;111412.0;-2.67275685;42.85058789;539.0;246976.0;120500.0;126476.0;16592;507;3164;3263;511;4741;4406;543;1990;1221;10743;2095;2017;44.25998882;43237;159207;44532;29941
01060000000;01550;01;ARABA/ÁLAVA;YÉCORA/IEKORA;1880.2483;20919.0;-2.4700849;42.56923117;694.0;270.0;139.0;131.0;9;0;4;1;2;2;0;3;1;-1;2;3;2017;47.15925926;45;171;54;25
01061000000;01560;01;ARABA/ÁLAVA;ZALDUONDO;1187.86;21423.0;-2.34650825;42.88580971;612.0;190.0;106.0;84.0;7;-1;3;1;-1;1;2;-1;2;1;4;-1;2017;45.34210526;34;131;25;20
01062000000;01570;01;ARABA/ÁLAVA;ZAMBRANA;3950.6249;43865.0;-2.87806502;42.66112968;458.0;383.0;208.0;175.0;26;0;2;7;2;8;7;2;6;1;15;2;2017;47.51697128;56;253;74;41
01063000000;01580;01;ARABA/ÁLAVA;ZUIA;12248.6671;49689.0;-2.81862854;42.95597763;617.0;2316.0;1191.0;1125.0;60;2;7;18;2;12;19;0;10;0;45;5;2017;44.09067358;461;1507;348;261
