Mes;T;TM;Tm_1;R;H;DR;DN;DT;DF;DH;DD;I;Codigo
Mayo;16.9;21.1;12.8;47;70;4.7;0;1.7;1.2;0;4.3;250;08
Junio;20.9;24.9;16.8;30;68;3.6;0;1.5;0.5;0;6.8;266;08
Julio;23.9;28;19.8;21;67;1.8;0;1.3;0.3;0;10.2;305;08
Agosto;24.4;28.5;20.2;62;68;4.5;0;3.5;0.3;0;6.8;278;08
Septiembre;21.7;26;17.4;81;70;5.2;0;3.5;0.9;0;4.3;;08
Octubre;17.8;22.1;13.5;91;73;6.3;0;2.8;0.7;0;3.8;182;08
Noviembre;13;17.3;8.6;59;71;5.1;0.1;1.2;0.7;0.3;5.5;145;08
Diciembre;10;14.3;5.7;40;69;4.4;0;0.4;0.2;1;7;141;08
Año;16.1;20.3;11.8;588;69;53.3;0.4;19.9;9.4;3.8;70.4;;08
Enero;3.1;7;-0.8;44;85;7.5;4.7;0.1;6.8;18;2.7;86;09
Febrero;4.1;9;-0.8;35;77;6.9;3.7;0.1;3.8;17.2;2.9;116;09
Marzo;7;12.9;1.1;34;69;6.1;2.8;0.4;1.6;12.3;4.4;175;09
Abril;8.6;14.4;2.7;61;69;9.2;1.9;1.5;1.1;6.6;2.8;185;09
Mayo;12.2;18.4;5.9;63;67;9.3;0.3;4;1.5;1.1;2.9;226;09
Junio;16.5;23.7;9.2;41;62;5.7;0;3.4;1.3;0.1;6;277;09
Julio;19.5;27.6;11.5;23;57;3.6;0;3.3;0.8;0;10.5;320;09
Agosto;19.5;27.5;11.5;23;58;3.4;0;3;1.3;0;8.2;292;09
Septiembre;16.1;23.3;8.9;38;65;5.3;0;1.9;1.7;0.1;5.8;220;09
Octubre;11.5;17.2;5.9;60;74;8.3;0;0.6;2.9;1.9;3.1;151;09
Noviembre;6.6;10.9;2.1;60;82;8.7;1.7;0.1;4.6;9.7;2.8;99;09
Diciembre;3.9;7.7;0.2;63;85;9.3;3.4;0.1;6;15;3;78;09
Año;10.7;16.6;4.8;546;71;83.5;18.5;18.9;34;80.9;;2223;09
Enero;7.8;12;3.7;54;79;6.7;0.3;0;4.1;5;8.2;156;10
Febrero;9.3;14;4.7;48;73;6.5;0.1;0.3;2.3;2.3;6.5;175;10
Marzo;12.2;17.7;6.7;36;63;5;0.1;0.7;0.6;0.7;8.2;232;10
Abril;13.8;19.3;8.3;52;60;7.2;0;1.1;0.1;0;6.3;247;10
Mayo;17.6;23.7;11.5;50;55;6.5;0;3.1;0.3;0;6;297;10
Junio;22.9;29.9;16;20;44;2.6;0;1.6;0;0;10.8;336;10
Julio;26.2;33.7;18.8;6;37;0.7;0;0.8;0;0;19.6;379;10
Agosto;26;33.2;18.7;7;39;1;0;1;0;0;16.3;348;10
Septiembre;22.4;28.8;16;30;49;3.5;0;1.7;0;0;10.1;261;10
Octubre;17;22;11.9;77;65;7.5;0;1.2;0.4;0;6.9;205;10
Noviembre;11.7;15.9;7.5;89;76;8.1;0;0.4;2;0.5;6.8;158;10
Diciembre;8.7;12.5;4.9;77;80;8.4;0.1;0.3;4.8;3;7.1;129;10
Año;16.3;21.9;10.7;551;60;64.2;;12.2;15;11.6;114.1;2922;10
Enero;12.7;16;9.4;69;75;6.9;0;1.4;1.8;0;9.2;184;11
Febrero;13.8;16.8;10.7;58;74;6.4;0;1.1;1.1;0;8;197;11
Marzo;15.5;18.8;12.3;35;71;4.8;0;0.9;1.1;0;9.9;228;11
Abril;16.8;19.9;13.7;45;69;5.6;0;0.9;0.3;0;7.4;255;11
Mayo;19.1;22.1;16.2;27;70;3.2;0;0.8;0.2;0;8.2;307;11
Junio;22.4;25.3;19.5;7;69;0.9;0;0.3;0.5;0;13.9;331;11
Julio;24.6;27.7;21.4;0;68;0.1;0;0.2;0.7;0;19;;11
Agosto;25;27.9;22;2;70;0.2;0;0.1;0.5;0;;;11
Septiembre;23.3;26.3;20.3;24;71;2.5;0;0.7;0.4;0;11.3;252;11
Octubre;20.3;23.4;17.3;67;74;5.6;0;1.3;0.5;0;8.9;228;11
Noviembre;16.5;19.6;13.4;98;74;7.2;0;1.7;0.9;0;8.1;187;11
Diciembre;13.9;16.9;10.9;92;76;8.1;0;1.4;1.1;0;7.9;166;11
Año;18.6;21.6;15.4;523;;50.7;;;;0;;;11
Enero;10.6;15.3;5.8;36;67;4.2;0;0.3;0.5;0.7;8;180;12
Febrero;11.3;16.2;6.4;31;66;3.5;0;0.2;1.2;0.7;6.3;179;12
Marzo;13.4;18.5;8.3;31;64;3.3;0;0.3;1.4;0;6.6;209;12
Abril;15.4;20.5;10.3;42;63;4.6;0;1.7;0.7;0;4.6;235;12
Mayo;18.5;23.4;13.6;44;63;4.7;0;2.3;0.2;0;5;272;12
Junio;22.5;27.3;17.6;19;63;2.8;0;2.7;0.1;0;8.4;296;12
Julio;25.3;30;20.6;9;64;1.4;0;2.1;0;0;11.7;329;12
Agosto;25.6;30.3;20.9;24;66;2.4;0;3.9;0;0;7.9;290;12
Septiembre;22.9;27.6;18.1;71;68;5;0;3.9;0.1;0;5.2;229;12
Octubre;19;23.5;14.4;70;69;5;0;2.7;0.2;0;4.8;203;12
Noviembre;14.3;18.8;9.8;49;68;4.2;0;0.8;0.1;0;5.1;173;12
Diciembre;11.4;15.8;7;42;68;4.4;0;0.3;0.3;0.1;7;164;12
Año;17.5;22.3;12.7;467;66;45.5;0;21.7;5.2;1.6;80.6;2755;12
Enero;6;10.9;1.1;35;78;5.9;1;0.1;7.3;13.3;6.7;133;13
Febrero;8;13.7;2.4;30;71;5.7;0.9;0.2;3.8;7.2;6.3;157;13
Marzo;11.4;17.9;4.9;28;61;4.7;0.2;0.4;1.4;2.2;6.8;213;13
Abril;13.4;19.7;7.1;48;59;7.8;0.1;1.3;0.7;0.2;4.8;226;13
Mayo;17.5;24.1;10.9;41;55;6.3;0;3.1;0.4;0;4.2;260;13
Junio;23.2;30.5;15.9;25;46;3.4;0;3.2;0;0;9.9;313;13
Julio;26.7;34.5;18.9;6;40;0.8;0;1.4;0;0;17.6;352;13
Agosto;26.1;33.7;18.6;5;43;1;0;1.7;0;0;15.1;323;13
Septiembre;21.6;28.4;14.8;26;54;3.6;0;1.8;0.3;0;8.8;247;13
Octubre;15.8;21.5;10;53;67;6.4;0;1;2;0;6.1;190;13
Noviembre;10.1;15.1;5.1;45;76;6.4;0;0.2;4.2;2.9;5;135;13
Diciembre;6.9;11.4;2.5;59;81;7.4;0.3;0.2;7.6;9.6;5.6;114;13
Año;15.6;21.8;9.3;402;61;59.3;2.6;14.2;27.6;35.4;97.3;2664;13
Enero;9.3;14.9;3.6;66;76;7.2;0.2;0.4;2.8;6.6;10.3;174;14
Febrero;11.1;17.4;4.9;55;71;6.1;0;0.6;2.4;3;8.8;186;14
Marzo;14.4;21.3;7.4;49;64;4.9;0;1;0.5;0.4;8.5;218;14
Abril;16;22.8;9.3;55;60;6.7;0;1.9;0.8;0;5.8;235;14
Mayo;20;27.4;12.6;40;55;4.9;0;1.9;0.6;0;7.3;288;14
Junio;24.7;32.8;16.5;13;48;1.4;0;1.1;0;0;13.7;323;14
Julio;28;36.9;19;2;41;0.4;0;0.6;0;0;20.9;363;14
Agosto;28;36.5;19.4;5;43;0.6;0;0.5;0;0;19;336;14
Septiembre;24.2;31.6;16.9;35;52;3.2;0;1.7;0.3;0;10.3;248;14
Octubre;19.1;25.1;13;86;66;6.9;0;1.7;1.2;0;7.8;204;14
Noviembre;13.5;19.1;7.8;80;73;5.9;0;0.7;2.6;0.6;8.4;180;14
Diciembre;10.4;15.3;5.5;111;79;8.1;0;0.7;4.5;3.3;8.1;148;14
Año;18.2;25.1;11.4;605;60;56.6;0.2;12.7;15.7;15.5;130.5;;14
Enero;9.3;13.1;5.4;121;77;13.6;0.2;0.7;5.1;3.7;4.4;99;15
Febrero;9.5;13.8;5.2;102;74;12;0;0.6;4.3;3;5.7;117;15
Marzo;11.1;15.7;6.6;85;71;11.6;0;0.4;4.3;1.2;5.9;155;15
Abril;12.1;16.5;7.7;99;72;13.5;0;1;4.2;0.1;4.9;173;15
Mayo;14.4;18.6;10.1;82;73;11.8;0;1.5;4.4;0;3.5;194;15
Junio;17.1;21.4;12.7;45;73;6.7;0;0.8;4.9;0;6;217;15
Julio;18.7;23.1;14.3;35;74;5.6;0;0.8;6.6;0;5.9;236;15
Agosto;19.1;23.7;14.5;36;74;5.9;0;1;8.5;0;6.9;240;15
Septiembre;17.7;22.6;12.9;72;75;8.2;0;1.1;8.8;0;6.3;181;15
Octubre;14.9;19.2;10.6;139;78;13.3;0;0.6;7.4;0;3.5;142;15
Noviembre;11.8;15.7;7.9;140;79;13.9;0;1.1;5.9;0.4;3.3;104;15
Diciembre;9.9;13.7;6.1;144;78;14.6;0;0.9;5.3;2.5;5.7;94;15
Año;13.8;18.1;9.5;1106;75;130.9;0.2;10.2;69.4;10.3;;1939;15
Enero;4.6;9.7;-0.5;40;73;6.5;2.3;0;2.7;17.8;9.3;154;16
Febrero;5.9;11.5;0.2;38;67;5.9;2;0;1.2;13.7;7.5;162;16
Marzo;8.8;15.1;2.5;35;60;5.5;1.1;0.3;0.7;6.8;6.8;211;16
Abril;10.6;16.6;4.5;58;60;8.4;0.7;0.8;0.4;2.1;5.1;206;16
Mayo;14.6;20.9;8.2;52;56;8.3;0;3;0.1;0.1;4.5;258;16
Junio;20.1;27.3;12.8;41;48;4.6;0;4.1;0;0;;309;16
Julio;23.6;31.4;15.7;10;41;1.7;0;2.2;0.1;0;15.9;357;16
Agosto;23.2;30.7;15.6;20;45;2.6;0;3.1;0.1;0;13.5;329;16
Septiembre;18.8;25.6;11.9;42;55;4.8;0;2.5;0.1;0;8.3;246;16
Octubre;13.4;19.2;7.7;60;67;7.9;0.1;0.8;0.9;0.4;7.2;188;16
Noviembre;8.3;13.3;3.2;48;73;7.2;0.8;0.1;1.6;6.5;7;151;16
Diciembre;5.4;10.1;0.7;58;76;8;1.3;0.1;2.2;14.6;8.2;136;16
Año;13.1;19.3;6.9;501;60;71.2;8.6;17;10.1;62.2;;;16
Enero;7.1;13.1;1.1;62;75;4.9;0.3;0.3;4.7;13.3;9.4;147;17
Febrero;7.9;14.1;1.7;51;73;4.9;0.3;0.4;5;10.1;7;156;17
Marzo;10.4;16.7;4.1;50;70;5.1;0;0.9;4.9;3.9;6.6;179;17
Abril;12.5;18.8;6.2;67;69;7.1;0;1.6;3.3;0.7;4.5;194;17
Mayo;16.3;22.4;10.1;71;68;7.3;0;2.8;4;0;4.1;224;17
Junio;20.4;26.6;14.3;60;63;5.1;0;2.4;2.6;0;6.9;247;17
Julio;23.6;30.1;17.1;32;59;3.2;0;3;1.5;0;11.6;285;17
Agosto;23.4;29.8;17;46;65;5.1;0;4.9;2;0;8.2;261;17
Septiembre;20.1;26.1;14.1;70;70;6.5;0;3.8;4.7;0;5.3;195;17
Octubre;16.2;21.8;10.5;88;75;6.4;0;2.3;5.4;0.1;5;167;17
Noviembre;10.9;16.6;5.2;70;76;5.2;0;0.7;4;3.8;6.7;143;17
Diciembre;7.8;13.6;2;56;76;4.7;0.1;0.4;4.6;11.1;9;132;17
Año;14.7;20.8;8.6;728;71;65.8;0.7;23.9;48;41.3;84.4;;17
Enero;6.5;13;0;42;72;5.6;0.7;0.2;4.4;16.8;9.8;168;18
Febrero;8.5;15.4;1.6;38;67;5.9;0.3;0.3;2.6;9.9;7.6;175;18
Marzo;11.4;19;3.8;32;59;4.9;0;0.6;1.5;3.8;6.8;223;18
Abril;13.3;20.6;6;36;57;6.2;0;0.9;0.9;0.8;5.3;234;18
Mayo;17.2;25;9.4;28;51;4.2;0;1.8;0.4;0.1;6.5;288;18
Junio;22.3;31;13.6;11;44;1.7;0;1.9;0.1;0;13.2;338;18
Julio;25.3;34.8;15.7;2;38;0.3;0;1;0;0;22.3;372;18
Agosto;24.8;34.2;15.5;4;42;0.6;0;1.1;0.1;0;19.1;340;18
Septiembre;21.1;29.4;12.8;19;52;2.8;0;1.4;0.3;0;9.5;258;18
Octubre;16;23.2;8.7;40;64;5;0;1.1;1.6;0.2;7.1;210;18
Noviembre;10.6;17;4.2;54;72;6.8;0.1;0.5;3.8;4.8;6.7;163;18
Diciembre;7.6;13.4;1.7;56;76;7.4;0.1;0.3;5.6;12.4;7.2;146;18
Año;15.4;23;7.8;365;58;52.1;1;11;21.4;48.5;121.1;2917;18
Enero;4.9;10.7;-1;35;;6.1;0.9;0;2.6;20.8;;;19
Febrero;6.3;13;-0.4;32;;5.9;1.1;0.1;1.8;17.3;;;19
Marzo;9.5;17;1.9;25;;4.7;0.2;0.4;1;10;;;19
Abril;11.1;18.4;3.8;50;;8;0.3;1.4;0.3;4.1;;;19
Mayo;15.5;23.5;7.5;53;;7.3;0;3.6;0.1;0.4;;;19
Junio;20.8;29.9;11.7;25;;3.8;0;3.1;0.1;0;;;19
Julio;23.7;33.5;13.7;12;;1.8;0;2.4;0;0;;;19
Agosto;23.7;;;;;;;;;;;;19
Septiembre;18.7;27.4;10;28;;4;0;1.9;0.5;0;;;19
Octubre;13.9;20.9;6.8;68;;8.1;0;1.1;0.6;1.1;;;19
Noviembre;8.3;14.7;1.9;42;;5.7;0.1;0.1;1.8;11.5;;;19
Diciembre;5.5;11;-0.1;46;;6.3;0.7;0;2.7;18;;;19
Año;13.5;21.1;5.7;36;;5.2;0.3;1.4;0.9;6.9;;;19
Enero;8.5;11;5.9;141;75;13.2;1.3;1.2;7.7;2.6;2.9;98;20
Febrero;8.7;11.5;5.9;110;74;11.6;1.6;1.4;6.2;1.8;2.9;107;20
Marzo;10.3;13.4;7.2;113;74;12.4;0.3;1.5;7.6;0.6;2.9;144;20
Abril;11.3;14.5;8.1;138;77;13.4;0.1;2.2;9.1;0;1.9;157;20
Mayo;14.4;17.7;11.1;120;78;12.2;0;3.3;10.4;0;2.1;181;20
Junio;16.9;20;13.8;90;82;10.6;0;3.3;11.2;0;2.7;189;20
Julio;18.9;21.8;16;86;83;9.8;0;3.5;10.6;0;3.1;196;20
Agosto;19.5;22.5;16.5;117;83;10.5;0;3.7;9.1;0;3.4;190;20
Septiembre;18;21.1;14.8;111;79;10.1;0;2.5;8.3;0;4.1;179;20
Octubre;15.5;18.5;12.4;159;75;11.8;0;1.9;7.3;0;2.6;140;20
Noviembre;11.3;14;8.7;169;76;13;0.2;1.6;7.7;0.5;2.8;102;20
Diciembre;9.1;11.6;6.6;151;75;12.4;0.5;1.1;6.7;1.6;2.9;93;20
Año;13.5;16.5;10.6;1507;78;141.1;4;27.3;101.9;7.1;34.2;1816;20
Enero;11;16.2;5.9;71;77;7.1;0;0.6;1.4;0.9;;165;21
Febrero;12.4;17.8;7;50;74;5.5;0;0.5;2.3;0.3;;171;21
Marzo;14.7;20.7;8.8;38;68;4.3;0;0.7;1.6;0;;229;21
Abril;16.1;22;10.3;48;65;6;0;1;0.5;0;;255;21
Mayo;19.2;25.2;13.2;29;62;3.8;0;0.8;0.7;0;;296;21
Junio;22.8;29;16.6;8;57;1.1;0;0.1;0.1;0;;341;21
Julio;25.8;32.7;18.9;3;51;0.2;0;0.2;0.1;0;;366;21
Agosto;25.8;32.4;19.1;4;55;0.4;0;0.3;0.2;0;;340;21
Septiembre;23.4;29.4;17.3;26;61;2.4;0;0.6;1.1;0;;268;21
Octubre;19.5;24.9;14.1;68;69;6.4;0;1;1.3;0;;211;21
Noviembre;14.9;20;9.8;79;73;6.3;0;0.9;0.9;0;;176;21
Diciembre;12.3;16.9;7.6;99;78;7.9;0;1.4;1.9;0.5;;151;21
Año;18.2;23.9;12.4;525;66;51.5;0;7.8;12.3;1.8;;;21
Enero;5.2;9;1.4;31;78;5;1;0.2;7.3;10.3;;138;22
Febrero;6.9;11.6;2.2;28;70;4.5;0.8;0.1;3.4;7;5.5;173;22
Marzo;10.1;15.7;4.5;30;61;4.2;0.4;0.2;1.3;3.5;7;230;22
Abril;12.1;18;6.2;53;60;6.4;0.1;1.3;1.3;0.8;;243;22
Mayo;16.1;22.3;9.8;52;57;7.3;0;3.3;1.3;0;;275;22
Junio;21;28.1;13.8;33;50;4.3;0;3.7;0.3;0;;302;22
Julio;24.1;31.6;16.5;22;47;3.1;0;3.7;0.2;0;;346;22
Agosto;23.7;30.9;16.6;29;50;3.3;0;3.9;0.2;0;;314;22
Septiembre;19.8;25.9;13.6;48;57;4.4;0;3.2;0.7;0;;247;22
Octubre;15;19.8;10.1;60;67;6.5;0;1.1;1.6;0;;197;22
Noviembre;9.3;13.4;5.2;47;76;5.8;0.1;0.2;5.6;2.8;;146;22
Diciembre;5.5;9.2;1.9;44;81;6;0.8;0.1;8.4;9.7;;123;22
Año;14;19.6;8.4;480;63;60.7;;21.3;33.4;34.2;;2732;22
Enero;8.6;12.1;5.1;55;70;6.4;0.4;0.1;1.5;1.6;;;23
Febrero;10.3;14;6.6;50;65;6.2;0.3;0.1;0.7;0.6;;;23
Marzo;13.1;17.4;8.9;44;59;5;0.3;0.2;0.5;0.3;;;23
Abril;14.5;19;10;54;58;7;0;0.5;0.2;0;;;23
Mayo;18.2;23.2;13.3;43;55;5.6;0;0.9;0.2;0;;;23
Junio;23.7;29.4;18.1;18;;2;0;0.9;0.3;;;;23
Julio;27.6;33.7;21.4;2;40;0.3;0;0.3;0;0;;;23
Agosto;26.9;32.9;21;9;45;0.7;0;0.5;0;0;;;23
Septiembre;22.8;27.7;17.8;26;54;2.6;0;1;0.1;0;;;23
Octubre;17.9;21.9;13.8;55;64;5.9;0;0.5;0.4;0;;;23
Noviembre;12.3;15.7;8.9;62;70;6.9;0;0.1;0.9;0.1;;;23
Diciembre;9.5;12.8;6.3;75;72;7.6;0.1;0.3;1.6;0.6;;;23
Año;17.1;21.7;12.6;41;54;4.7;0.1;;;;;;23
Enero;3.2;7.1;-0.7;50;82;7.6;4.1;0;8.1;18.6;5.8;130;24
Febrero;4.7;9.5;0;34;74;6;3.1;0.1;2.8;15;5.8;161;24
Marzo;7.6;13.3;1.9;32;66;5.6;1.6;0.3;1;9.4;6.9;214;24
Abril;9;14.8;3.3;45;65;7.7;0.9;1.2;0.3;5.2;4.1;228;24
Mayo;12.6;18.6;6.6;56;62;8.8;0.1;3.9;0.6;0.7;3.6;259;24
Junio;17.1;24;10.2;31;56;4.6;0;2.9;0.2;0;7.3;314;24
Julio;19.8;27.4;12.2;19;52;2.8;0;3;0.1;0;12.3;358;24
Agosto;19.6;26.9;12.3;23;54;2.7;0;2.6;0.1;0;11.8;327;24
Septiembre;16.5;22.9;10.1;39;62;4.5;0;1.5;0.2;0;9;246;24
Octubre;11.7;16.7;6.7;61;74;8.2;0;0.4;1.7;0.7;4.9;178;24
Noviembre;7;11.2;2.8;59;80;7.5;0.8;0;4.8;7.3;5.4;137;24
Diciembre;4.2;8;0.4;66;83;8.7;2.2;0.1;7.9;14.6;6.3;120;24
Año;11.1;16.7;5.5;515;67;74.9;13;16.1;27.8;71.6;83;2673;24
