Mes;T;TM;Tm_1;R;H;DR;DN;DT;DF;DH;DD;I;Codigo
Enero;4.6;8.3;0.9;32;82;6.1;1.1;0.1;9.1;14.4;4.7;97;49
Febrero;6.4;11.4;1.3;25;73;5.1;1.2;0;3.3;11.2;5.2;144;49
Marzo;9.5;15.5;3.5;22;63;5;0.2;0.2;1;5;6;201;49
Abril;11.2;17.1;5.3;39;62;7.2;0.2;0.6;0.4;1.2;5.2;224;49
Mayo;15;21.2;8.7;43;58;7.4;0;2.8;0.2;0;5;264;49
Junio;19.8;27;12.6;23;51;3.8;0;2;0.1;0;9.6;318;49
Julio;22.7;30.4;14.9;12;47;2;0;2;0;0;15;354;49
Agosto;22.3;29.8;14.8;13;50;2.4;0;2;0;0;13.9;322;49
Septiembre;18.8;25.5;12;28;57;4.2;0;1.4;0.3;0;9.7;241;49
Octubre;13.6;19;8.3;50;69;6.9;0;0.4;2.3;0.1;5;175;49
Noviembre;8.4;12.7;4.1;45;78;7.1;0.2;0.1;5.9;5.2;5.3;113;49
Diciembre;5.5;9.2;1.8;46;82;7;0.8;0.1;7;11;4.9;87;49
Año;13.1;18.9;7.4;379;64;64.2;3.4;11.7;29.6;48.3;;2532;49
Enero;6.6;10.5;2.7;21;75;4;0.7;0;6.5;7.6;4.6;131;50
Febrero;8.2;13.1;3.3;22;67;3.9;0.4;0.1;2.9;5.2;5.1;165;50
Marzo;11.6;17.3;5.8;19;59;3.7;0.2;0.3;0.4;1.4;6.7;217;50
Abril;13.8;19.6;7.9;39;57;5.7;0;1.4;0.2;0.1;4.6;226;50
Mayo;18;24.1;11.8;44;54;6.4;0;4.1;0.3;0;4.5;274;50
Junio;22.6;29.3;15.8;26;49;4;0;3.9;0.1;0;8.2;307;50
Julio;25.3;32.4;18.3;17;47;2.6;0;3.8;0;0;14.6;348;50
Agosto;25;31.7;18.3;17;51;2.3;0;3.7;0;0;10.9;315;50
Septiembre;21.2;27.1;15.2;30;57;3.2;0;2.8;0.2;0;8;243;50
Octubre;16.2;21.4;11;36;67;5.4;0;1;1;0;5.4;195;50
Noviembre;10.6;14.8;6.3;30;73;5.1;0.1;0.1;3.9;1.9;4;148;50
Diciembre;7;10.8;3.2;21;76;4.8;0.5;0.1;7.1;6.5;4.3;124;50
Año;15.5;21;10;322;61;51.1;2.4;21.3;22.5;23.1;81.6;;50
Enero;13.4;15.8;11;122;72;8;;;;0;;;51
Febrero;13.7;15.9;11.4;145;75;9;;;;0;;;51
Marzo;14.8;17.4;12.2;90;68;6;;;;0;;;51
Abril;16.4;19.1;13.6;57;71;6;;;;0;;;51
Mayo;18.8;21.9;15.7;21;66;4;;;;0;;;51
Junio;22.3;25.7;18.8;3;67;1;;;;0;;;51
Julio;24.9;28.9;20.9;1;61;0;;;;0;;;51
Agosto;25;28.5;21.5;3;70;0;;;;0;;;51
Septiembre;22.8;25.8;19.8;37;72;2;;;;0;;;51
Octubre;20.2;22.8;17.5;82;75;7;;;;0;;;51
Noviembre;16.4;18.8;14;127;73;7;;;;0;;;51
Diciembre;14.3;16.4;12.1;161;73;10;;;;0;;;51
Año;18.5;21.4;15.7;70;70;5;;;;;;;51
Enero;13.3;16.7;9.9;58;72;6.3;0.1;1.4;0.2;0;6.3;184;52
Febrero;13.8;17;10.6;57;74;5.5;0;1.4;0.6;0;4.7;170;52
Marzo;15.2;18.5;11.9;44;73;4.6;0;1.1;1.1;0;5.6;192;52
Abril;16.6;20.1;13.2;36;69;4.6;0;1.1;0.5;0;5.7;220;52
Mayo;19.1;22.5;15.7;20;67;2.8;0;0.9;0.2;0;5.4;258;52
Junio;22.4;25.8;19;7;67;0.7;0;1;0.4;0;9.4;279;52
Julio;25.3;28.9;21.7;1;66;0.3;0;0.8;0.3;0;11.5;289;52
Agosto;25.9;29.4;22.4;4;69;0.8;0;1.1;0.2;0;10.3;268;52
Septiembre;23.8;27.1;20.5;16;72;2.2;0;1.6;0.1;0;5.7;210;52
Octubre;20.4;23.7;17.2;40;75;3.9;0;1.2;0.5;0;4.6;194;52
Noviembre;17;20.3;13.7;57;74;5.8;0;1.3;0.3;0;4.1;176;52
Diciembre;14.6;17.8;11.2;50;73;5.7;0;0.9;0.3;0;5.1;168;52
Año;18.9;22.3;15.6;391;71;43.7;0.1;13.5;4.7;0;77.7;2607;52
